#SDSS
2005.4297   [354.3, 16.129]   [477, 15.939]   [623.1, 15.659]   [762.5, 15.547]   [913.4, 15.451]
2005.4244   [354.3, 16.178]   [477, 15.925]   [623.1, 15.669]   [762.5, 15.552]   [913.4, 15.492]
#DSS
1991.283   [630, 15.37]   [467.5, 16.01]
1956.201   [630, 15.1]   [467.5, 15.7]
1980   [630, 15.53]   [467.5, 16.53]   [660, 15.41]
#
